chapter_number,total,NOUN_count,NOUN_prop,ADJ_count,ADJ_prop,VERB_count,VERB_prop,ADV_count,ADV_prop,PROPN_count,PROPN_prop,CONJ_count,CONJ_prop,PRON_count,PRON_prop,PUNCT_count,PUNCT_prop
82,1343,213,0.15860014892032762,92,0.06850335070737155,122,0.09084139985107967,63,0.04690990320178704,83,0.06180193596425912,81,0.06031273268801191,105,0.0781831720029784,175,0.1303052866716307
83,916,138,0.15065502183406113,60,0.06550218340611354,80,0.08733624454148471,45,0.04912663755458515,81,0.08842794759825327,46,0.05021834061135371,71,0.07751091703056769,122,0.1331877729257642
84,953,176,0.18467995802728226,74,0.0776495278069255,109,0.11437565582371459,57,0.05981112277019937,21,0.022035676810073453,55,0.05771248688352571,78,0.08184679958027283,134,0.14060860440713535
85,2396,392,0.1636060100166945,159,0.06636060100166945,232,0.09682804674457429,144,0.06010016694490818,41,0.017111853088480802,182,0.07595993322203673,261,0.10893155258764607,301,0.12562604340567612
86,2121,405,0.19094766619519093,158,0.07449316360207449,200,0.0942951438000943,125,0.058934464875058934,37,0.017444601603017446,123,0.05799151343705799,199,0.09382366808109383,254,0.11975483262611976
87,5524,941,0.17034757422157856,397,0.07186821144098479,612,0.11078928312816799,356,0.06444605358435916,160,0.02896451846488052,346,0.06263577118030413,415,0.07512671976828385,719,0.13015930485155686
88,1392,237,0.17025862068965517,119,0.08548850574712644,130,0.09339080459770115,100,0.07183908045977011,51,0.036637931034482756,82,0.05890804597701149,121,0.08692528735632184,187,0.1343390804597701
89,1681,303,0.1802498512790006,115,0.06841165972635337,131,0.07792980368828079,75,0.044616299821534804,86,0.0511600237953599,112,0.06662700773349196,131,0.07792980368828079,231,0.13741820345032718
90,1256,197,0.15684713375796178,80,0.06369426751592357,110,0.0875796178343949,57,0.04538216560509554,78,0.06210191082802548,64,0.050955414012738856,99,0.07882165605095541,185,0.14729299363057324
91,3136,459,0.14636479591836735,163,0.05197704081632653,370,0.11798469387755102,187,0.05963010204081633,136,0.04336734693877551,168,0.05357142857142857,331,0.1055484693877551,526,0.1677295918367347
92,1142,200,0.17513134851138354,83,0.07267950963222417,98,0.08581436077057793,55,0.04816112084063047,53,0.046409807355516634,74,0.0647985989492119,67,0.05866900175131348,156,0.13660245183887915
93,1965,315,0.16030534351145037,164,0.08346055979643766,186,0.09465648854961832,123,0.06259541984732825,86,0.04376590330788804,126,0.06412213740458016,141,0.0717557251908397,307,0.15623409669211197
94,1516,286,0.18865435356200527,110,0.07255936675461741,147,0.09696569920844327,87,0.05738786279683377,25,0.016490765171503958,80,0.052770448548812667,148,0.09762532981530343,217,0.14313984168865435
95,589,101,0.17147707979626486,43,0.0730050933786078,54,0.09168081494057725,30,0.050933786078098474,20,0.03395585738539898,23,0.03904923599320883,61,0.1035653650254669,82,0.13921901528013583
96,2154,413,0.19173630454967502,157,0.07288765088207985,205,0.09517177344475394,105,0.04874651810584958,49,0.02274837511606314,117,0.054317548746518104,176,0.08170844939647168,302,0.14020427112349118
97,291,64,0.21993127147766323,20,0.06872852233676977,23,0.07903780068728522,13,0.044673539518900345,6,0.020618556701030927,18,0.061855670103092786,28,0.09621993127147767,41,0.140893470790378
98,1222,224,0.18330605564648117,91,0.07446808510638298,125,0.10229132569558101,78,0.06382978723404255,20,0.016366612111292964,92,0.07528641571194762,81,0.0662847790507365,184,0.15057283142389524
99,3115,458,0.14703049759229533,157,0.05040128410914928,347,0.11139646869983949,179,0.05746388443017657,158,0.0507223113964687,202,0.06484751203852328,334,0.10722311396468699,585,0.18780096308186195
100,3426,493,0.14389959136018682,179,0.05224751897256275,378,0.11033274956217162,198,0.05779334500875657,149,0.043490951546993575,175,0.05107997664915353,370,0.10799766491535318,658,0.19206071220081727
101,2116,329,0.15548204158790171,190,0.08979206049149338,164,0.07750472589792061,105,0.04962192816635161,117,0.055293005671077505,146,0.06899810964083176,180,0.08506616257088846,329,0.15548204158790171
102,1879,346,0.184140500266099,136,0.07237892496008515,191,0.10164981373070782,78,0.041511442256519426,80,0.04257583821181479,104,0.05534858967535923,168,0.08940926024481106,299,0.1591271953166578
103,1092,187,0.17124542124542125,99,0.09065934065934066,97,0.08882783882783883,66,0.06043956043956044,21,0.019230769230769232,54,0.04945054945054945,84,0.07692307692307693,151,0.1382783882783883
104,1667,274,0.16436712657468505,124,0.07438512297540492,168,0.10077984403119376,60,0.035992801439712056,100,0.059988002399520096,96,0.057588482303539294,133,0.07978404319136173,218,0.1307738452309538
105,1831,317,0.17312943746586565,134,0.07318405243036592,141,0.07700709994538503,102,0.05570726379027854,86,0.04696886947023485,142,0.07755324959038777,111,0.06062261059530311,243,0.13271436373566356
106,1109,168,0.151487826871055,87,0.07844905320108206,98,0.08836789900811542,72,0.06492335437330929,40,0.03606853020739405,68,0.061316501352569885,91,0.08205590622182146,164,0.1478809738503156
107,1270,237,0.18661417322834645,110,0.08661417322834646,116,0.09133858267716535,82,0.06456692913385827,17,0.013385826771653543,88,0.06929133858267716,110,0.08661417322834646,195,0.15354330708661418
108,2085,308,0.14772182254196642,115,0.05515587529976019,237,0.11366906474820145,150,0.07194244604316546,100,0.047961630695443645,92,0.044124700239808155,219,0.10503597122302158,420,0.2014388489208633
109,1153,170,0.1474414570685169,78,0.06764960971379011,125,0.10841283607979185,55,0.047701647875108416,69,0.0598438855160451,65,0.05637467476149176,93,0.08065915004336513,214,0.18560277536860365
110,2695,431,0.15992578849721706,180,0.06679035250463822,306,0.11354359925788497,148,0.054916512059369205,80,0.029684601113172542,187,0.06938775510204082,277,0.10278293135435992,414,0.1536178107606679
111,506,98,0.19367588932806323,48,0.09486166007905138,56,0.11067193675889328,19,0.037549407114624504,25,0.04940711462450593,25,0.04940711462450593,33,0.06521739130434782,75,0.1482213438735178
112,1142,211,0.18476357267950963,92,0.08056042031523643,120,0.10507880910683012,61,0.053415061295971976,35,0.03064798598949212,60,0.05253940455341506,80,0.07005253940455342,184,0.16112084063047286
113,1594,256,0.1606022584692597,89,0.055834378920953574,160,0.10037641154328733,85,0.05332496863237139,98,0.06148055207026349,84,0.05269761606022585,135,0.08469259723964868,341,0.21392722710163112
114,783,151,0.19284802043422733,76,0.0970625798212005,75,0.09578544061302682,44,0.0561941251596424,17,0.021711366538952746,52,0.06641123882503193,56,0.07151979565772669,129,0.16475095785440613
115,1087,195,0.17939282428702852,76,0.06991720331186753,123,0.11315547378104876,60,0.05519779208831647,36,0.03311867525298988,59,0.05427782888684453,78,0.07175712971481141,173,0.15915363385464582
116,636,114,0.1792452830188679,51,0.08018867924528301,69,0.10849056603773585,55,0.08647798742138364,22,0.03459119496855346,41,0.06446540880503145,39,0.06132075471698113,112,0.1761006289308176
117,587,96,0.1635434412265758,31,0.05281090289608177,64,0.10902896081771721,30,0.05110732538330494,20,0.034071550255536626,35,0.059625212947189095,49,0.08347529812606473,109,0.18568994889267462
118,1090,208,0.1908256880733945,71,0.06513761467889909,114,0.10458715596330276,51,0.046788990825688076,47,0.043119266055045874,66,0.060550458715596334,91,0.0834862385321101,176,0.1614678899082569
119,3165,529,0.16714060031595576,189,0.05971563981042654,351,0.11090047393364928,153,0.04834123222748815,147,0.046445497630331754,174,0.054976303317535544,292,0.09225908372827804,579,0.18293838862559242
120,257,35,0.13618677042801555,13,0.05058365758754864,30,0.11673151750972763,6,0.023346303501945526,17,0.06614785992217899,10,0.038910505836575876,28,0.10894941634241245,66,0.25680933852140075
121,802,115,0.1433915211970075,36,0.04488778054862843,94,0.1172069825436409,67,0.08354114713216958,26,0.032418952618453865,45,0.05610972568578554,86,0.10723192019950124,149,0.185785536159601
122,79,14,0.17721518987341772,4,0.05063291139240506,7,0.08860759493670886,3,0.0379746835443038,2,0.02531645569620253,1,0.012658227848101266,5,0.06329113924050633,24,0.3037974683544304
123,1483,244,0.16453135536075522,98,0.06608226567768037,160,0.1078894133513149,84,0.056641942009440324,60,0.04045853000674309,77,0.051921780175320294,145,0.09777478084962914,229,0.15441672285906946
124,1456,254,0.17445054945054944,100,0.06868131868131869,158,0.10851648351648352,92,0.06318681318681318,50,0.034340659340659344,76,0.0521978021978022,109,0.07486263736263736,226,0.15521978021978022
125,1479,214,0.1446923597025017,80,0.054090601757944556,173,0.1169709263015551,89,0.06017579445571332,99,0.06693711967545639,68,0.04597701149425287,118,0.07978363759296822,329,0.222447599729547
126,1712,288,0.16822429906542055,95,0.055490654205607476,195,0.11390186915887851,85,0.04964953271028037,40,0.02336448598130841,103,0.06016355140186916,173,0.10105140186915888,282,0.1647196261682243
127,984,159,0.16158536585365854,60,0.06097560975609756,96,0.0975609756097561,66,0.06707317073170732,38,0.03861788617886179,39,0.039634146341463415,93,0.09451219512195122,238,0.241869918699187
128,1724,256,0.14849187935034802,99,0.0574245939675174,204,0.11832946635730858,106,0.06148491879350348,60,0.03480278422273782,100,0.058004640371229696,177,0.10266821345707657,281,0.16299303944315546
129,763,104,0.1363040629095675,35,0.045871559633027525,89,0.11664482306684142,51,0.06684141546526867,47,0.061598951507208385,45,0.05897771952817824,93,0.1218872870249017,166,0.21756225425950196
130,1995,335,0.16791979949874686,134,0.06716791979949875,217,0.10877192982456141,148,0.07418546365914787,60,0.03007518796992481,136,0.06817042606516291,180,0.09022556390977443,278,0.1393483709273183
131,542,87,0.16051660516605165,33,0.06088560885608856,67,0.12361623616236163,31,0.05719557195571956,26,0.04797047970479705,29,0.05350553505535055,44,0.08118081180811808,106,0.19557195571955718
132,2017,342,0.16955875061973227,143,0.07089737233515121,208,0.10312345066931086,98,0.04858701041150223,79,0.039167079821517105,130,0.06445215666831929,177,0.08775409023301933,374,0.18542389687654934
133,4337,710,0.16370763200368918,284,0.06548305280147568,503,0.1159787871800784,303,0.06986396126354623,164,0.037814157251556374,222,0.0511874567673507,334,0.07701175928060872,716,0.16509107678118515
134,4030,694,0.17220843672456576,237,0.05880893300248139,436,0.10818858560794045,239,0.059305210918114144,143,0.035483870967741936,211,0.05235732009925558,337,0.08362282878411911,673,0.16699751861042184
135,5921,978,0.16517480155379158,387,0.06536058098294208,680,0.11484546529302482,367,0.06198277318020605,201,0.033946968417497045,343,0.05792940381692282,555,0.09373416652592467,1041,0.17581489613241005
